Commit SHA,Message,Suggestion
5404beac21d6572876ef0e358804a4e00e33668e,lab 4,Review large additions; Review total changes for potential issues (Too many changes since last commit)
6e950812265f79cc2bd9afa70d6e4523ca618e5e,lab 4 tasks 1-5 solution,Review large deletions (Many deletions may indicate a fix)
492fa5e6366dab4dfc54e2084fcd4f905a63b0f7,lab 4 tasks 1-4 solution,No specific recommendations
409c9423a918521a09cf59ee29daee0f1991c229,lab 4 tasks 1-3 solution,Review large additions; Review total changes for potential issues (Too many changes since last commit)
a861d6eb0c0cac9e0a70104ba79fc08fc68dada6,lab 4 tasks 1-2 solution,Review large deletions (Many deletions may indicate a fix)
1fca0863fd153b3ac66422725d046be6f3d25a6c,lab 4 no solution,Review large additions; Review total changes for potential issues (Too many changes since last commit); Review changes in multiple files (Many files updated, expected compatibility issues)
1bdbb860a20bc377432eb787475ff0aeec89a723,hw3,Review large additions; Review total changes for potential issues (Too many changes since last commit); Review changes in multiple files (Many files updated, expected compatibility issues)
aae8af2f2a25f34916f6dc6cf484e2c3facb4585,hw2 done,No specific recommendations
2421d0764b35cbe43a5859e4736a05d60699c01b,hw2 done,Review changes in multiple files (Many files updated, expected compatibility issues)
f50955098101a31cc755afff40e0e8536d1494f2,hw1 done,No specific recommendations
288ab2737228bc272e5302113ff609e6b739764e,hw1 done,No specific recommendations
9e524bdd77131c23a97159bb0dc2360632fa8a45,add pdf,No specific recommendations
2be3fd288070a7cb5ec1e3d1544dcf4c4322cfbe,fix small typos,No specific recommendations
e908e3ae4cc5263c0bd81fcfba0819fb0f381f5b,Update README.md, remove html,No specific recommendations
bfac701c86cdcae8afaa5de3969dad1f46a4e7b3,Аргессивная оптимизация prepare_public_package скрипта,No specific recommendations
c0af5ec594c84a604874eb8a8158906f7eda91e9,Изменил описание для 2023,No specific recommendations
2a80045bfa124db8f9d6703eb9447a6c1a321dc5,Replaced 'always @*' with 'always_comb',No specific recommendations
6f9ab030f6f99a4cacc44ac64e196f712fd5a536,The first public draft of the exercises,Review changes in multiple files (Many files updated, expected compatibility issues)
c11be272240f7ecc78d5ad0d72c75da0beb376c7,The first public draft of the exercises,No specific recommendations
b11e0b4bc05a8d151f3b9a90f7ffe4b743495677,Added first files,No specific recommendations
